free, Free, Upto maximum of 20 pages or 2 files, 0, monthly, 100, 100 credits per month:2000 page limit per upload:Interact with documents:Summarize web pages
lite, Lite, Upto maximum of 100 pages or 10 files, 10, monthly, 1000, 1000 credits per month:2000 page limit per upload:Interact with documents:Summarize web pages
pro, Pro, Upto maximum of 1000 pages or 50 files, 20, monthly, 10000, 1000 credits per month:2000 page limit per upload:Interact with documents:Summarize web pages
